国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和7年中の増減
日本人,4,13203,武蔵野市,16,-68,-132,-92,-4,-39,-14,-105,-22,-56,-86,-34,-636
日本人,4,13204,三鷹市,-56,3,-166,-48,4,11,147,44,100,26,-20,77,122
日本人,4,13205,青梅市,13,42,-61,23,27,43,31,6,34,47,35,-18,222
日本人,4,13206,府中市,29,-441,74,273,79,48,23,7,109,-278,12,102,37
日本人,4,13207,昭島市,12,50,78,57,8,16,14,16,45,12,-9,56,355
日本人,4,13208,調布市,1,91,4,11,132,52,35,80,87,89,27,102,711
日本人,4,13209,町田市,-19,-51,-104,59,-101,-64,-7,-40,29,0,17,61,-220
日本人,4,13210,小金井市,-82,-48,63,121,-83,17,35,-49,6,46,17,28,71
日本人,4,13211,小平市,-39,10,70,53,38,95,93,-61,29,11,44,102,445
日本人,4,13212,日野市,16,92,19,1,6,19,29,16,72,-18,31,47,330
日本人,4,13213,東村山市,8,47,80,-3,20,4,122,91,74,43,112,123,721
日本人,4,13214,国分寺市,-72,-34,-28,-8,-28,36,26,4,-25,42,-49,43,-93
日本人,4,13215,国立市,-28,28,4,32,8,-3,20,50,-1,33,-3,31,171
日本人,4,13218,福生市,-11,-10,-39,13,-29,10,15,11,20,16,12,24,32
日本人,4,13219,狛江市,9,-16,0,-23,-37,-3,0,-7,28,15,-36,42,-28
日本人,4,13220,東大和市,58,-23,-5,27,6,44,58,33,55,69,77,26,425
日本人,4,13221,清瀬市,37,51,-2,29,57,77,88,73,67,2,17,46,542
日本人,4,13222,東久留米市,21,48,12,24,65,50,68,82,25,142,65,89,691
日本人,4,13223,武蔵村山市,-8,48,-19,30,-36,-16,19,23,-32,33,20,95,157
日本人,4,13224,多摩市,123,122,-17,-49,21,19,31,-31,-10,-45,-19,93,238
日本人,4,13225,稲城市,3,-42,-64,45,-13,11,21,-7,-18,-29,1,-36,-128
日本人,4,13227,羽村市,3,-23,-30,-8,14,2,-6,-13,6,-42,9,-9,-97
日本人,4,13228,あきる野市,20,-11,16,-4,8,23,6,7,-24,-23,5,1,24
日本人,4,13229,西東京市,6,47,-13,43,43,44,29,98,42,128,34,208,709
日本人,1,13550,町村部,6,-4,-476,401,35,2,21,14,1,67,9,5,81
日本人,2,13300,郡部,14,6,17,29,33,22,21,22,16,70,16,15,281
日本人,4,13303,瑞穂町,2,2,25,4,5,22,17,3,-3,42,15,2,136
日本人,4,13305,日の出町,5,5,-9,21,12,2,2,13,10,20,5,-7,79
日本人,4,13307,檜原村,2,-1,1,0,13,-4,1,-2,6,5,5,5,31
日本人,4,13308,奥多摩町,5,0,0,4,3,2,1,8,3,3,-9,15,35
日本人,2,13350,島部,-8,-10,-493,372,2,-20,0,-8,-15,-3,-7,-10,-200
日本人,3,13360,大島支庁,-6,-5,-223,181,6,-5,-1,1,-9,0,-3,2,-62
日本人,4,13361,大島町,-6,-6,-157,138,4,-3,1,6,-9,-1,-5,3,-35
日本人,4,13362,利島村,0,1,-10,10,-1,1,0,1,0,0,1,0,3
日本人,4,13363,新島村,-1,-2,-37,20,1,-3,-1,-4,-1,2,1,1,-24
日本人,4,13364,神津島村,1,2,-19,13,2,0,-1,-2,1,-1,0,-2,-6
日本人,3,13380,三宅支庁,-5,-3,-83,65,0,-7,-1,-3,-3,4,-1,-3,-40
日本人,4,13381,三宅村,-5,-3,-69,60,0,-6,-1,-3,-1,4,0,-2,-26
