国籍区分,地域階層,地域コード,地域,1月中／死亡数,2月中／死亡数,3月中／死亡数,4月中／死亡数,5月中／死亡数,6月中／死亡数,7月中／死亡数,8月中／死亡数,9月中／死亡数,10月中／死亡数,11月中／死亡数,12月中／死亡数,令和7年中の死亡数
日本人,4,13401,八丈町,16,10,14,11,13,4,8,11,15,10,13,8,133
日本人,4,13402,青ヶ島村,0,0,0,0,0,1,0,0,1,0,0,0,2
日本人,3,13420,小笠原支庁,1,3,0,2,1,4,1,1,1,1,0,3,18
日本人,4,13421,小笠原村,1,3,0,2,1,4,1,1,1,1,0,3,18
外国人,0,13000,総数,135,104,97,112,100,80,93,100,90,89,71,98,1169
外国人,1,13100,区部,106,86,74,92,84,64,83,78,70,68,58,75,938
外国人,1,13200,市部,28,18,23,20,16,16,10,21,20,20,13,22,227
外国人,2,13300,郡部,0,0,0,0,0,0,0,0,0,1,0,1,2
外国人,2,13350,島部,1,0,0,0,0,0,0,1,0,0,0,0,2
外国人,1,13100,区部,106,86,74,92,84,64,83,78,70,68,58,75,938
外国人,4,13101,千代田区,0,1,0,1,0,1,0,0,1,0,0,1,5
外国人,4,13102,中央区,1,1,0,1,0,0,1,4,1,3,1,0,13
外国人,4,13103,港区,3,3,6,5,2,1,1,1,3,4,4,4,37
外国人,4,13104,新宿区,6,4,6,5,7,3,9,7,3,5,1,5,61
外国人,4,13105,文京区,3,2,4,1,2,2,1,1,0,2,1,1,20
外国人,4,13106,台東区,5,5,5,3,4,0,2,1,3,1,0,2,31
外国人,4,13107,墨田区,3,5,3,2,1,0,2,1,3,2,1,0,23
外国人,4,13108,江東区,7,5,4,5,8,4,7,5,4,5,5,3,62
外国人,4,13109,品川区,2,2,2,3,2,2,3,2,1,2,2,2,25
外国人,4,13110,目黒区,3,2,3,3,1,1,3,0,2,1,4,2,25
外国人,4,13111,大田区,5,9,4,4,5,6,5,4,4,3,1,8,58
外国人,4,13112,世田谷区,6,4,3,8,1,6,2,6,3,1,1,10,51
外国人,4,13113,渋谷区,4,1,0,2,2,0,1,3,2,2,2,1,20
外国人,4,13114,中野区,5,3,0,3,2,0,3,3,1,1,1,1,23
外国人,4,13115,杉並区,0,4,2,5,3,2,3,2,1,3,4,0,29
外国人,4,13116,豊島区,2,2,3,0,4,6,2,6,3,6,3,2,39
外国人,4,13117,北区,3,2,0,2,3,4,5,2,2,3,2,3,31
外国人,4,13118,荒川区,6,2,3,9,7,5,4,5,5,4,7,8,65
外国人,4,13119,板橋区,5,4,5,3,5,2,5,2,5,1,1,3,41
外国人,4,13120,練馬区,7,7,2,9,6,3,5,4,4,3,2,2,54
外国人,4,13121,足立区,17,6,7,6,7,7,9,13,9,9,5,7,102
外国人,4,13122,葛飾区,11,4,4,5,5,3,2,3,5,5,5,3,55
外国人,4,13123,江戸川区,2,8,8,7,7,6,8,3,5,2,5,7,68
外国人,1,13200,市部,28,18,23,20,16,16,10,21,20,20,13,22,227
外国人,4,13201,八王子市,2,2,1,3,1,3,0,5,2,2,1,4,26
外国人,4,13202,立川市,1,0,0,0,2,0,2,2,1,2,1,1,12
外国人,4,13203,武蔵野市,0,1,1,0,0,1,0,2,0,0,0,0,5
外国人,4,13204,三鷹市,1,1,2,0,1,0,1,1,0,0,0,2,9
外国人,4,13205,青梅市,0,1,1,0,0,1,0,0,1,3,1,0,8
外国人,4,13206,府中市,4,1,1,3,1,0,1,1,3,1,1,2,19
外国人,4,13207,昭島市,2,1,1,1,2,0,0,3,0,2,0,1,13
外国人,4,13208,調布市,3,0,2,2,1,1,0,0,3,1,1,1,15
外国人,4,13209,町田市,2,1,4,3,3,1,1,2,3,0,0,2,22
外国人,4,13210,小金井市,1,0,0,0,0,0,0,0,0,0,0,1,2
外国人,4,13211,小平市,1,1,2,1,1,2,0,0,1,0,1,2,12
外国人,4,13212,日野市,1,2,1,1,1,1,2,0,0,0,1,0,10
外国人,4,13213,東村山市,0,1,2,0,0,0,0,0,0,2,0,0,5
外国人,4,13214,国分寺市,1,1,1,0,1,0,0,1,0,0,1,0,6
外国人,4,13215,国立市,0,0,1,2,0,0,0,1,1,1,0,0,6
外国人,4,13218,福生市,2,2,0,0,1,0,0,0,0,0,1,0,6
外国人,4,13219,狛江市,1,0,0,0,0,0,0,0,0,0,1,0,2
外国人,4,13220,東大和市,2,1,0,0,0,2,1,1,1,0,1,1,10
外国人,4,13221,清瀬市,0,0,1,1,0,0,0,1,1,0,1,0,5
外国人,4,13222,東久留米市,2,0,0,0,0,0,1,0,0,0,0,1,4
外国人,4,13223,武蔵村山市,0,0,0,0,0,0,1,0,1,0,1,0,3
外国人,4,13224,多摩市,1,0,1,0,0,0,0,0,0,1,0,0,3
外国人,4,13225,稲城市,0,2,0,2,1,0,0,0,1,1,0,1,8
外国人,4,13227,羽村市,0,0,0,0,0,1,0,1,0,2,0,0,4
外国人,4,13228,あきる野市,0,0,1,0,0,2,0,0,0,1,0,2,6
