国籍区分,地域階層,地域コード,地域,1月中／出生数,2月中／出生数,3月中／出生数,4月中／出生数,5月中／出生数,6月中／出生数,7月中／出生数,8月中／出生数,9月中／出生数,10月中／出生数,11月中／出生数,12月中／出生数,令和7年中の出生数
日本人,3,13420,小笠原支庁,2,1,0,2,1,2,0,1,3,2,1,0,15
日本人,4,13421,小笠原村,2,1,0,2,1,2,0,1,3,2,1,0,15
外国人,0,13000,総数,365,310,315,308,346,327,331,334,383,365,335,361,4080
外国人,1,13100,区部,300,254,271,252,292,271,276,268,315,296,281,298,3374
外国人,1,13200,市部,63,55,44,56,54,54,53,63,67,69,54,63,695
外国人,2,13300,郡部,1,1,0,0,0,2,2,3,1,0,0,0,10
外国人,2,13350,島部,1,0,0,0,0,0,0,0,0,0,0,0,1
外国人,1,13100,区部,300,254,271,252,292,271,276,268,315,296,281,298,3374
外国人,4,13101,千代田区,0,3,1,0,0,0,1,0,1,2,1,0,9
外国人,4,13102,中央区,9,6,4,5,3,1,6,2,2,3,6,8,55
外国人,4,13103,港区,10,19,13,5,13,12,11,9,14,8,9,9,132
外国人,4,13104,新宿区,17,9,16,10,13,18,18,13,15,19,18,18,184
外国人,4,13105,文京区,7,7,2,4,6,4,3,4,7,7,3,3,57
外国人,4,13106,台東区,8,5,8,3,5,6,5,7,5,7,8,6,73
外国人,4,13107,墨田区,5,4,5,1,4,7,4,8,8,6,10,5,67
外国人,4,13108,江東区,22,17,21,20,13,18,19,26,19,15,16,19,225
外国人,4,13109,品川区,4,6,7,7,12,4,4,5,6,8,5,7,75
外国人,4,13110,目黒区,4,3,4,6,7,7,8,5,2,3,9,11,69
外国人,4,13111,大田区,17,13,16,16,21,16,13,13,23,17,15,24,204
外国人,4,13112,世田谷区,11,13,15,14,7,11,8,10,10,8,5,10,122
外国人,4,13113,渋谷区,8,5,2,4,6,6,2,2,5,3,4,5,52
外国人,4,13114,中野区,10,11,7,15,7,8,11,9,13,9,8,10,118
外国人,4,13115,杉並区,11,10,7,7,14,8,13,10,6,7,4,9,106
外国人,4,13116,豊島区,18,21,6,14,21,13,18,8,14,16,12,11,172
外国人,4,13117,北区,17,11,26,21,9,15,18,19,32,18,20,16,222
外国人,4,13118,荒川区,11,9,12,5,12,13,12,6,13,13,11,6,123
外国人,4,13119,板橋区,18,20,20,19,17,14,22,22,28,23,22,15,240
外国人,4,13120,練馬区,7,4,8,10,10,4,15,8,12,15,14,15,122
外国人,4,13121,足立区,22,22,16,20,32,25,28,32,20,40,32,26,315
外国人,4,13122,葛飾区,26,14,17,19,22,25,17,21,27,15,18,26,247
外国人,4,13123,江戸川区,38,22,38,27,38,36,20,29,33,34,31,39,385
外国人,1,13200,市部,63,55,44,56,54,54,53,63,67,69,54,63,695
外国人,4,13201,八王子市,8,9,5,7,8,6,5,13,7,11,7,7,93
外国人,4,13202,立川市,1,1,3,3,1,6,2,2,3,4,1,4,31
外国人,4,13203,武蔵野市,0,1,0,0,0,2,1,1,1,3,1,0,10
外国人,4,13204,三鷹市,1,3,1,1,1,2,1,2,2,3,3,4,24
外国人,4,13205,青梅市,2,2,0,0,2,1,0,4,2,2,2,3,20
外国人,4,13206,府中市,2,7,2,2,6,3,2,2,6,2,2,5,41
外国人,4,13207,昭島市,4,1,0,2,1,6,3,2,0,0,1,2,22
外国人,4,13208,調布市,4,3,2,2,0,0,2,1,3,1,4,0,22
外国人,4,13209,町田市,5,6,5,10,3,5,9,11,7,7,6,4,78
外国人,4,13210,小金井市,3,1,8,0,2,3,0,3,6,3,0,0,29
外国人,4,13211,小平市,1,2,3,1,1,5,3,3,3,3,5,4,34
外国人,4,13212,日野市,4,5,0,2,1,2,3,2,0,1,2,2,24
外国人,4,13213,東村山市,0,1,1,0,2,0,2,0,5,1,3,5,20
外国人,4,13214,国分寺市,0,2,0,6,3,0,1,1,4,1,2,3,23
外国人,4,13215,国立市,2,0,1,0,1,1,1,0,0,1,2,1,10
外国人,4,13218,福生市,6,1,2,3,7,1,4,3,6,8,2,1,44
外国人,4,13219,狛江市,3,0,1,0,0,1,2,0,1,1,0,2,11
外国人,4,13220,東大和市,2,1,1,0,0,0,0,0,0,1,0,1,6
外国人,4,13221,清瀬市,2,0,0,0,1,1,1,0,4,2,0,2,13
外国人,4,13222,東久留米市,1,3,1,3,2,1,1,1,1,4,2,5,25
外国人,4,13223,武蔵村山市,2,0,0,2,0,0,1,0,0,0,1,0,6
外国人,4,13224,多摩市,2,1,2,6,3,0,2,4,2,2,2,1,27
外国人,4,13225,稲城市,2,0,1,1,3,4,1,2,1,1,1,1,18
外国人,4,13227,羽村市,2,0,1,2,3,0,2,1,1,1,3,2,18
外国人,4,13228,あきる野市,0,2,1,1,1,2,0,0,0,0,1,0,8
外国人,4,13229,西東京市,4,3,3,2,2,2,4,5,2,6,1,4,38
外国人,1,13550,町村部,2,1,0,0,0,2,2,3,1,0,0,0,11
外国人,2,13300,郡部,1,1,0,0,0,2,2,3,1,0,0,0,10
外国人,4,13303,瑞穂町,1,1,0,0,0,1,2,1,0,0,0,0,6
外国人,4,13305,日の出町,0,0,0,0,0,1,0,2,1,0,0,0,4
外国人,4,13307,檜原村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13308,奥多摩町,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,2,13350,島部,1,0,0,0,0,0,0,0,0,0,0,0,1
外国人,3,13360,大島支庁,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13361,大島町,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13362,利島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13363,新島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13364,神津島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,3,13380,三宅支庁,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13381,三宅村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13382,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,3,13400,八丈支庁,1,0,0,0,0,0,0,0,0,0,0,0,1
外国人,4,13401,八丈町,1,0,0,0,0,0,0,0,0,0,0,0,1
外国人,4,13402,青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,3,13420,小笠原支庁,0,0,0,0,0,0,0,0,0,0,0,0,0
外国人,4,13421,小笠原村,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,
人口の動き（令和7年中）,,,,,,,,,,,,,,,,
第15－１・２・３表　区市町村、月別出生数（総数、日本人、外国人）,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,
