地域階層,地域コード,地域,年齢階層,年齢,総数／計(人),総数／男(人),総数／女(人),日本人／計(人),日本人／男(人),日本人／女(人),外国人／計(人),外国人／男(人),外国人／女(人)
4,13103,港区,1,80～84,7078,2722,4356,6966,2673,4293,112,49,63
4,13103,港区,1,85～89,4831,1633,3198,4753,1597,3156,78,36,42
4,13103,港区,1,90～94,2824,756,2068,2798,740,2058,26,16,10
4,13103,港区,1,95～99,851,161,690,845,158,687,6,3,3
4,13103,港区,1,100以上,152,25,127,150,24,126,2,1,1
4,13103,港区,1,不詳者,-,-,-,-,-,-,-,-,-
4,13104,新宿区,0,総数,355125,178409,176716,303768,151910,151858,51357,26499,24858
4,13104,新宿区,1,0～4,9196,4813,4383,8323,4341,3982,873,472,401
4,13104,新宿区,1,5～9,10019,5047,4972,9045,4563,4482,974,484,490
4,13104,新宿区,1,10～14,10094,5165,4929,9003,4592,4411,1091,573,518
4,13104,新宿区,1,15～19,13337,6848,6489,9132,4660,4472,4205,2188,2017
4,13104,新宿区,1,20～24,27776,13777,13999,17248,8267,8981,10528,5510,5018
4,13104,新宿区,1,25～29,37298,19488,17810,27980,14546,13434,9318,4942,4376
4,13104,新宿区,1,30～34,31348,16743,14605,25336,13520,11816,6012,3223,2789
4,13104,新宿区,1,35～39,27045,14482,12563,22651,12091,10560,4394,2391,2003
4,13104,新宿区,1,40～44,26376,14229,12147,22923,12386,10537,3453,1843,1610
4,13104,新宿区,1,45～49,26346,13824,12522,23637,12423,11214,2709,1401,1308
4,13104,新宿区,1,50～54,27413,13906,13507,24998,12698,12300,2415,1208,1207
4,13104,新宿区,1,55～59,23288,11746,11542,21426,10882,10544,1862,864,998
4,13104,新宿区,1,60～64,18978,9496,9482,17548,8867,8681,1430,629,801
4,13104,新宿区,1,65～69,14681,7269,7412,13691,6903,6788,990,366,624
4,13104,新宿区,1,70～74,13131,6402,6729,12602,6215,6387,529,187,342
4,13104,新宿区,1,75～79,15165,7002,8163,14858,6880,7978,307,122,185
4,13104,新宿区,1,80～84,10642,4245,6397,10503,4193,6310,139,52,87
4,13104,新宿区,1,85～89,7429,2569,4860,7345,2542,4803,84,27,57
4,13104,新宿区,1,90～94,4142,1124,3018,4109,1114,2995,33,10,23
4,13104,新宿区,1,95～99,1223,211,1012,1216,208,1008,7,3,4
4,13104,新宿区,1,100以上,198,23,175,194,19,175,4,4,-
4,13104,新宿区,1,不詳者,-,-,-,-,-,-,-,-,-
4,13105,文京区,0,総数,236981,112768,124213,219887,104222,115665,17094,8546,8548
4,13105,文京区,1,0～4,8651,4301,4350,8351,4151,4200,300,150,150
4,13105,文京区,1,5～9,10420,5370,5050,9933,5111,4822,487,259,228
4,13105,文京区,1,10～14,10344,5275,5069,9799,4971,4828,545,304,241
4,13105,文京区,1,15～19,9434,4705,4729,8637,4297,4340,797,408,389
4,13105,文京区,1,20～24,14700,7536,7164,11689,5939,5750,3011,1597,1414
4,13105,文京区,1,25～29,19503,9749,9754,15855,7849,8006,3648,1900,1748
4,13105,文京区,1,30～34,17988,8786,9202,15738,7688,8050,2250,1098,1152
4,13105,文京区,1,35～39,17008,8200,8808,15347,7406,7941,1661,794,867
4,13105,文京区,1,40～44,18395,8890,9505,17094,8307,8787,1301,583,718
4,13105,文京区,1,45～49,18746,8912,9834,17788,8468,9320,958,444,514
4,13105,文京区,1,50～54,18560,8795,9765,17958,8495,9463,602,300,302
4,13105,文京区,1,55～59,15941,7461,8480,15431,7221,8210,510,240,270
4,13105,文京区,1,60～64,13337,6392,6945,12932,6194,6738,405,198,207
4,13105,文京区,1,65～69,9942,4660,5282,9690,4547,5143,252,113,139
4,13105,文京区,1,70～74,8818,4128,4690,8645,4048,4597,173,80,93
4,13105,文京区,1,75～79,9857,4313,5544,9758,4264,5494,99,49,50
4,13105,文京区,1,80～84,6754,2708,4046,6719,2692,4027,35,16,19
4,13105,文京区,1,85～89,4739,1581,3158,4709,1574,3135,30,7,23
4,13105,文京区,1,90～94,2832,814,2018,2814,809,2005,18,5,13
4,13105,文京区,1,95～99,881,179,702,871,178,693,10,1,9
4,13105,文京区,1,100以上,131,13,118,129,13,116,2,-,2
4,13105,文京区,1,不詳者,-,-,-,-,-,-,-,-,-
4,13106,台東区,0,総数,217512,110430,107082,196166,99584,96582,21346,10846,10500
4,13106,台東区,1,0～4,5990,3014,2976,5651,2835,2816,339,179,160
4,13106,台東区,1,5～9,5628,2874,2754,5275,2688,2587,353,186,167
4,13106,台東区,1,10～14,5894,2958,2936,5522,2765,2757,372,193,179
4,13106,台東区,1,15～19,6135,3201,2934,5225,2706,2519,910,495,415
4,13106,台東区,1,20～24,10853,5464,5389,8082,3969,4113,2771,1495,1276
4,13106,台東区,1,25～29,21884,11100,10784,18060,9124,8936,3824,1976,1848
